+0100""","","",""
"itime=1736762932","date=""2025-01-13""","time=""11:08:49""","devid=""FGT70FTK22002970""","vd=""root""","type=""traffic""","subtype=""local""","action=""deny""","app=""udp/64120""","appcat=""unscanned""","","","","","bid=5765509","","","craction=262144","crlevel=""low""","crscore=5","devname=""DEU-HAM-FW01""","","dstcountry=""Reserved""","dstepid=102","dsteuid=102","dstintf=""root""","dstintfrole=""undefined""","dstip=""224.0.0.1""","","dstport=64120","duration=0","dvid=1065","epid=102","euid=102","eventtime=1736762929288210639","","id=7459339993853460599","","level=""notice""","logflag=3","logid=""0001000014""","logver=702081639","","policyid=0","","policytype=""local-in-policy""","","proto=17","rcvdbyte=0","","rcvdpkt=0","","sentbyte=0","","sentpkt=0","service=""udp/64120""","sessionid=23729530","srccountry=""Reserved""","srcintf=""internal""","srcintfrole=""lan""","srcip=""172.20.5.53""","","srcport=43156","","threatcnts=""{1}""","threatlvls=""{1}""","threats=""{failed-connection}""","threattyps=""{failed-connection}""","threatwgts=""{5}""","trandisp=""noop""","","","tz=""+0100""","","",""
"itime=1736762929","date=""2025-01-13""","time=""11:08:49""","devid=""FGT70FTK22002970""","vd=""root""","type=""traffic""","subtype=""forward""","action=""accept""","app=""STUN""","appcat=""Network.Service""","appid=16573","applist=""default""","apprisk=""elevated""","apps=""{STUN}""","bid=5765509","countapp=1","","","","","devname=""DEU-HAM-FW01""","devtype=""Router""","dstcountry=""United States""","dstepid=101","dsteuid=3","dstintf=""wan1""","dstintfrole=""wan""","dstip=""23.89.14.146""","","dstport=5004","duration=180","dvid=1065","epid=1232","euid=3","eventtime=1736762928800906679","","id=7459339980968558714","","level=""notice""","logflag=1","logid=""0000000013""","logver=702081639","mastersrcmac=""00:51:82:11:22:00""","policyid=2","policyname=""Internet for Other company""","policytype=""policy""","poluuid=""a74ddace-1bf1-51ee-4054-38bcfe2ec767""","proto=17","rcvdbyte=340","","rcvdpkt=5","saasinfo=""{0}""","sentbyte=340","","sentpkt=5","service=""udp/5004""","sessionid=23728566","srccountry=""Reserved""","srcintf=""internal5""","srcintfrole=""lan""","srcip=""172.16.250.51""","srcmac=""00:51:82:11:22:00""","srcport=40420","srcserver=0","","","","","","trandisp=""snat""","transip=""213.209.123.173""","transport=40420","tz=""+0100""","utmaction=""allow""","utmref=BAYAAAAEAAAByFgCAAHzlhGd85YRn",""
"itime=1736762929","date=""2025-01-13""","time=""11:08:49""","devid=""FGT70FTK22002970""","vd=""root""","type=""traffic""","subtype=""forward""","action=""accept""","app=""STUN""","appcat=""Network.Service""","appid=16573","applist=""default""","apprisk=""elevated""","apps=""{STUN}""","bid=5765509","countapp=1","","","","","devname=""DEU-HAM-FW01""","devtype=""Router""","dstcountry=""United States""","dstepid=101","dsteuid=3","dstintf=""wan1""","dstintfrole=""wan""","dstip=""144.196.60.13""","","dstport=5004","duration=180","dvid=1065","epid=1232","euid=3","eventtime=1736762928800906699","","id=7459339980968558713","","level=""notice""","logflag=1","logid=""0000000013""","logver=702081639","mastersrcmac=""00:51:82:11:22:00""","policyid=2","policyname=""Internet for Other company""","policytype=""policy""","poluuid=""a74ddace-1bf1-51ee-4054-38bcfe2ec767""","proto=17","rcvdbyte=340","","rcvdpkt=5","saasinfo=""{0}""","sentbyte=340","","sentpkt=5","service=""udp/5004""","sessionid=23728565","srccountry=""Reserved""","srcintf=""internal5""","srcintfrole=""lan""","srcip=""172.16.250.51""","srcmac=""00:51:82:11:22:00""","srcport=32646","srcserver=0","","","","","","trandisp=""snat""","transip=""213.209.123.173""","transport=32646","tz=""+0100""","utmaction=""allow""","utmref=BAYAAAAEAAAByFQCAAHzlhGd85YRn",""
"itime=1736762928","date=""2025-01-13""","time=""11:08:48""","devid=""FGT70FTK22002970""","vd=""root""","type=""traffic""","subtype=""forward""","action=""accept""","app=""STUN""","appcat=""Network.Service""","appid=16573","applist=""default""","apprisk=""elevated""","apps=""{STUN}""","bid=5765509","countapp=1","","","","","devname=""DEU-HAM-FW01""","devtype=""Router""","dstcountry=""United States""","dstepid=101","dsteuid=3","dstintf=""wan1""","dstintfrole=""wan""","dstip=""144.196.134.139""","","dstport=5004","duration=180","dvid=1065","epid=1232","euid=3","eventtime=1736762928290903179","","id=7459339976673591406","","level=""notice""","logflag=1","logid=""0000000013""","logver=702081639","mastersrcmac=""00:51:82:11:22:00""","policyid=2","policyname=""Internet for Other company""","policytype=""policy""","poluuid=""a74ddace-1bf1-51ee-4054-38bcfe2ec767""","proto=17","rcvdbyte=340","","rcvdpkt=5","saasinfo=""{0}""","sentbyte=340","","sentpkt=5","service=""udp/5004""","sessionid=23728564","srccountry=""Reserved""","srcintf=""internal5""","srcintfrole=""lan""","srcip=""172.16.250.51""","srcmac=""00:51:82:11:22:00""","srcport=22309","srcserver=0","","","","","","trandisp=""snat""","transip=""213.209.123.173""","transport=22309","tz=""+0100""","utmaction=""allow""","utmref=BAYAAAAEAAAByFACAAHzlhGd85YRn",""
"itime=1736762928","date=""2025-01-13""","time=""11:08:48""","devid=""FGT70FTK22002970""","vd=""root""","type=""traffic""","subtype=""forward""","action=""accept""","app=""STUN""","appcat=""Network.Service""","appid=16573","applist=""default""","apprisk=""elevated""","apps=""{STUN}""","bid=5765509","countapp=1","","","","","devname=""DEU-HAM-FW01""","devtype=""Router""","dstcountry=""United States""","dstepid=101","dsteuid=3","dstintf=""wan1""","dstintfrole=""wan""","dstip=""144.196.160.187""","","dstport=5004","duration=180","dvid=1065","epid=1232","euid=3","eventtime=1736762928250910859","","id=7459339976673591318","","level=""notice""","logflag=1","logid=""0000000013""","logver=702081639","mastersrcmac=""00:51:82:11:22:00""","policyid=2","policyname=""Internet for Other company""","policytype=""policy""","poluuid=""a74ddace-1bf1-51ee-4054-38bcfe2ec767""","proto=17","rcvdbyte=340","","rcvdpkt=5","saasinfo=""{0}""","sentbyte=340","","sentpkt=5","service=""udp/5004""","sessionid=23728563","srccountry=""Reserved""","srcintf=""internal5""","srcintfrole=""lan""","srcip=""172.16.250.51""","srcmac=""00:51:82:11:22:00""","srcport=30972","srcserver=0","","","","","","trandisp=""snat""","transip=""213.209.123.173""","transport=30972","tz=""+0100""","utmaction=""allow""","utmref=BAYAAAAEAAAByEACAAHzlhGd85YRn",""
"itime=1736762928","date=""2025-01-13""","time=""11:08:48""","devid=""FGT70FTK22002970""","vd=""root""","type=""traffic""","subtype=""forward""","action=""accept""","app=""STUN""","appcat=""Network.Service""","appid=16573","applist=""default""","apprisk=""elevated""","apps=""{STUN}""","bid=5765509","countapp=1","","","","","devname=""DEU-HAM-FW01""","devtype=""Router""","dstcountry=""United States""","dstepid=101","dsteuid=3","dstintf=""wan1""","dstintfrole=""wan""","dstip=""144.196.73.241""","","dstport=5004","duration=180","dvid=1065","epid=1232","euid=3","eventtime=1736762928190921199","","id=7459339976673591317","","level=""notice""","logflag=1","logid=""0000000013""","logver=702081639","mastersrcmac=""00:51:82:11:22:00""","policyid=2","policyname=""Internet for Other company""","policytype=""policy""","poluuid=""a74ddace-1bf1-51ee-4054-38bcfe2ec767""","proto=17","rcvdbyte=340","","rcvdpkt=5","saasinfo=""{0}""","sentbyte=340","","sentpkt=5","service=""udp/5004""","sessionid=23728562","srccountry=""Reserved""","srcintf=""internal5""","srcintfrole=""lan""","srcip=""172.16.250.51""","srcmac=""00:51:82:11:22:00""","srcport=45417","srcserver=0","","","","","","trandisp=""snat""","transip=""213.209.123.173""","transport=45417","tz=""+0100""","utmaction=""allow""","utmref=BAYAAAAEAAAByCQCAAHzlhGd85YRn",""
"itime=1736762928","date=""2025-01-13""","time=""11:08:48""","devid=""FGT70FTK22002970""","vd=""root""","type=""traffic""","subtype=""forward""","action=""accept""","app=""STUN""","appcat=""Network.Service""","appid=16573","applist=""default""","apprisk=""elevated""","apps=""{STUN}""","bid=5765509","countapp=1","","","","","devname=""DEU-HAM-FW01""","devtype=""Router""","dstcountry=""United States""","dstepid=101","dsteuid=3","dstintf=""wan1""","dstintfrole=""wan""","dstip=""144.196.179.179""","","dstport=5004","duration=180","dvid=1065","epid=1232","euid=3","eventtime=1736762928190911339","","id=7459339976673591316","","level=""notice""","logflag=1","logid=""0000000013""","logver=702081639","mastersrcmac=""00:51:82:11:22:00""","policyid=2","policyname=""Internet for Other company""","policytype=""policy""","poluuid=""a74ddace-1bf1-51ee-4054-38bcfe2ec767""","proto=17","rcvdbyte=340","","rcvdpkt=5","saasinfo=""{0}""","sentbyte=340","","sentpkt=5","service=""udp/5004""","sessionid=23728560","srccountry=""Reserved""","srcintf=""internal5""","srcintfrole=""lan""","srcip=""172.16.250.51""","srcmac=""00:51:82:11:22:00""","srcport=23219","srcserver=0","","","","","","trandisp=""snat""","transip=""213.209.123.173""","transport=23219","tz=""+0100""","utmaction=""allow""","utmref=BAYAAAAEAAAByWwCAAHvlhGd75YRn",""
"itime=1736762928","date=""2025-01-13""","time=""11:08:48""","devid=""FGT70FTK22002970""","vd=""root""","type=""traffic""","subtype=""forward""","action=""accept""","app=""STUN""","appcat=""Network.Service""","appid=16573","applist=""default""","apprisk=""elevated""","apps=""{STUN}""","bid=5765509","countapp=1","","","","","devname=""DEU-HAM-FW01""","devtype=""Router""","dstcountry=""United States""","dstepid=101","dsteuid=3","dstintf=""wan1""","dstintfrole=""wan""","dstip=""170.72.22.172""","","dstport=5004","duration=180","dvid=1065","epid=1232","euid=3","eventtime=1736762928150916119","","id=7459339976673591305","","level=""notice""","logflag=1","logid=""0000000013""","logver=702081639","mastersrcmac=""00:51:82:11:22:00""","policyid=2","policyname=""Internet for Other company""","policytype=""policy""","poluuid=""a74ddace-1bf1-51ee-4054-38bcfe2ec767""","proto=17","rcvdbyte=340","","rcvdpkt=5","saasinfo=""{0}""","sentbyte=340","","sentpkt=5","service=""udp/5004""","sessionid=23728559","srccountry=""Reserved""","srcintf=""internal5""","srcintfrole=""lan""","srcip=""172.16.250.51""","srcmac=""00:51:82:11:22:00""","srcport=45469","srcserver=0","","","","","","trandisp=""snat""","transip=""213.209.123.173""","transport=45469","tz=""+0100""","utmaction=""allow""","utmref=BAYAAAAEAAAByWQCAAHvlhGd75YRn",""
"itime=1736762928","date=""2025-01-13""","time=""11:08:48""","devid=""FGT70FTK22002970""","vd=""root""","type=""traffic""","subtype=""forward""","action=""close""","app=""HTTPS.BROWSER""","appcat=""Web.Client""","appid=40568","applist=""default""","apprisk=""medium""","apps=""{HTTPS.BROWSER,SSL}""","bid=5765509","countapp=2","","","","","devname=""DEU-HAM-FW01""","devtype=""Router""","dstcountry=""Germany""","dstepid=101","dsteuid=3","dstintf=""wan1""","dstintfrole=""wan""","dstip=""37.50.160.3""","","dstport=443","duration=1","dvid=1065","epid=1232","euid=3","eventtime=1736762927780909779","hostname=""client.deutschland-lan.de""","id=7459339976673591301","","level=""notice""","logflag=1","logid=""0000000013""","logver=702081639","mastersrcmac=""00:51:82:11:22:00""","policyid=2","policyname=""Internet for Other company""","policytype=""policy""","poluuid=""a74ddace-1bf1-51ee-4054-38bcfe2ec767""","proto=6","rcvdbyte=6551","","rcvdpkt=11","saasinfo=""{0,0}""","sentbyte=1830","","sentpkt=10","service=""HTTPS""","sessionid=23729520","srccountry=""Reserved""","srcintf=""internal5""","srcintfrole=""lan""","srcip=""172.16.250.51""","srcmac=""00:51:82:11:22:00""","srcport=31543","srcserver=0","","","","","","trandisp=""snat""","transip=""213.209.123.173""","transport=31543","tz=""+0100""","utmaction=""allow""","utmref=BAYAAAAIAAAByAwCAADDmhGcw5oRncgoAgAAv5oRnL-aEZw==",""
"itime=1736762927","date=""2025-01-13""","time=""11:08:46""","devid=""FGT70FTK22002970""","vd=""root""","type=""traffic""","subtype=""local""","action=""deny""","app=""udp/64120""","appcat=""unscanned""","","","","","bid=5765509","","","craction=262144","crlevel=""low""","crscore=5","devname=""DEU-HAM-FW01""","","dstcountry=""Reserved""","dstepid=102","dsteuid=102","dstintf=""root""","dstintfrole=""undefined""","dstip=""224.0.0.1""","","dstport=64120","duration=0","dvid=1065","epid=102","euid=102","eventtime=1736762926288037419","","id=7459339972378624009","","level=""notice""","logflag=3","logid=""0001000014""","logver=702081639","","policyid=0","","policytype=""local-in-policy""","","proto=17","rcvdbyte=0","","rcvdpkt=0","","sentbyte=0","","sentpkt=0","service=""udp/64120""","sessionid=23729519","srccountry=""Reserved""","srcintf=""internal""","srcintfrole=""lan""","srcip=""172.20.5.53""","","srcport=43156","","threatcnts=""{1}""","threatlvls=""{1}""","threats=""{failed-connection}""","threattyps=""{failed-connection}""","threatwgts=""{5}""","trandisp=""noop""","","","tz=""+0100""","","",""
