""","vd=""root""","type=""traffic""","subtype=""forward""","action=""close""","app=""HTTPS.BROWSER""","appcat=""Web.Client""","appid=40568","applist=""default""","apprisk=""medium""","apps=""{HTTPS.BROWSER,SSL}""","bid=5763878","countapp=2","","","","","devname=""DEU-HAM-FW01""","devtype=""Router""","dstcountry=""Germany""","dstepid=101","dsteuid=3","dstintf=""wan1""","dstintfrole=""wan""","dstip=""37.50.160.3""","","dstport=443","duration=1","dvid=1065","epid=1232","euid=3","eventtime=1736757363700910720","hostname=""client.deutschland-lan.de""","id=7459316079475556484","","level=""notice""","logflag=1","logid=""0000000013""","logver=702081639","mastersrcmac=""00:51:82:11:22:00""","policyid=2","policyname=""Internet for Other company""","policytype=""policy""","poluuid=""a74ddace-1bf1-51ee-4054-38bcfe2ec767""","proto=6","rcvdbyte=6551","","rcvdpkt=11","saasinfo=""{0,0}""","sentbyte=1830","","sentpkt=10","service=""HTTPS""","sessionid=23722679","srccountry=""Reserved""","srcintf=""internal5""","srcintfrole=""lan""","srcip=""172.16.250.51""","srcmac=""00:51:82:11:22:00""","srcport=1612","srcserver=0","","","","","","trandisp=""snat""","transip=""213.209.123.173""","transport=62029","tz=""+0100""","utmaction=""allow""","utmref=BAYAAAAIAAAByfACAAHPQhGdz0IRncnsAgABz0IRnc9CEZw==",""
"itime=1736757363","date=""2025-01-13""","time=""09:36:03""","devid=""FGT70FTK22002970""","vd=""root""","type=""traffic""","subtype=""local""","action=""deny""","app=""udp/64120""","appcat=""unscanned""","","","","","bid=5763878","","","craction=262144","crlevel=""low""","crscore=5","devname=""DEU-HAM-FW01""","","dstcountry=""Reserved""","dstepid=102","dsteuid=102","dstintf=""root""","dstintfrole=""undefined""","dstip=""224.0.0.1""","","dstport=64120","duration=0","dvid=1065","epid=102","euid=102","eventtime=1736757362947832179","","id=7459316075180589181","","level=""notice""","logflag=3","logid=""0001000014""","logver=702081639","","policyid=0","","policytype=""local-in-policy""","","proto=17","rcvdbyte=0","","rcvdpkt=0","","sentbyte=0","","sentpkt=0","service=""udp/64120""","sessionid=23722680","srccountry=""Reserved""","srcintf=""internal""","srcintfrole=""lan""","srcip=""172.20.5.53""","","srcport=43156","","threatcnts=""{1}""","threatlvls=""{1}""","threats=""{failed-connection}""","threattyps=""{failed-connection}""","threatwgts=""{5}""","trandisp=""noop""","","","tz=""+0100""","","",""
"itime=1736757363","date=""2025-01-13""","time=""09:36:02""","devid=""FGT70FTK22002970""","vd=""root""","type=""traffic""","subtype=""forward""","action=""accept""","app=""Microsoft.Teams""","appcat=""Collaboration""","appid=43541","applist=""default""","apprisk=""elevated""","","bid=5763878","","","","","","devname=""DEU-HAM-FW01""","","dstcountry=""United States""","dstepid=101","dsteuid=3","dstintf=""wan1""","dstintfrole=""wan""","dstip=""13.89.179.8""","dstowner=""microsoft.com""","dstport=443","duration=45262","dvid=1065","epid=1233","euid=3","eventtime=1736757362269630120","","id=7459316075180589178","","level=""notice""","logflag=32","logid=""0000000020""","logver=702081639","","policyid=1","policyname=""Access-to-Internet-ALL-ANY""","policytype=""policy""","poluuid=""69e70724-1038-51ee-df2e-71b15c1a8f8b""","proto=6","rcvdbyte=279206","rcvddelta=1144","rcvdpkt=967","","sentbyte=939796","sentdelta=5373","sentpkt=1487","service=""HTTPS""","sessionid=23689491","srccountry=""Reserved""","srcintf=""internal""","srcintfrole=""lan""","srcip=""172.20.5.52""","","srcport=46158","","","","","","","trandisp=""snat""","transip=""213.209.123.173""","transport=46158","tz=""+0100""","","",""
"itime=1736757362","date=""2025-01-13""","time=""09:36:02""","devid=""FGT70FTK22002970""","vd=""root""","type=""traffic""","subtype=""forward""","action=""client-rst""","app=""HTTPS.BROWSER""","appcat=""Web.Client""","appid=40568","applist=""default""","apprisk=""medium""","apps=""{HTTPS.BROWSER,SSL}""","bid=5763878","countapp=2","","","","","devname=""DEU-HAM-FW01""","devtype=""Router""","dstcountry=""United States""","dstepid=101","dsteuid=3","dstintf=""wan1""","dstintfrole=""wan""","dstip=""63.140.62.17""","","dstport=443","duration=14","dvid=1065","epid=1232","euid=3","eventtime=1736757361610905679","hostname=""smetrics.faz.net""","id=7459316070885621893","","level=""notice""","logflag=1","logid=""0000000013""","logver=702081639","mastersrcmac=""00:51:82:11:22:00""","policyid=2","policyname=""Internet for Other company""","policytype=""policy""","poluuid=""a74ddace-1bf1-51ee-4054-38bcfe2ec767""","proto=6","rcvdbyte=5039","","rcvdpkt=16","saasinfo=""{0,0}""","sentbyte=8535","","sentpkt=19","service=""HTTPS""","sessionid=23722660","srccountry=""Reserved""","srcintf=""internal5""","srcintfrole=""lan""","srcip=""172.16.250.51""","srcmac=""00:51:82:11:22:00""","srcport=6256","srcserver=0","","","","","","trandisp=""snat""","transip=""213.209.123.173""","transport=6256","tz=""+0100""","utmaction=""allow""","utmref=BAYAAAAIAAAByCACAAGTQhGdk0IRncgoAgABj0IRnY9CEZw==",""
"itime=1736757362","date=""2025-01-13""","time=""09:36:02""","devid=""FGT70FTK22002970""","vd=""root""","type=""traffic""","subtype=""forward""","action=""client-rst""","app=""HTTPS.BROWSER""","appcat=""Web.Client""","appid=40568","applist=""default""","apprisk=""medium""","apps=""{HTTPS.BROWSER,SSL}""","bid=5763878","countapp=2","","","","","devname=""DEU-HAM-FW01""","devtype=""Router""","dstcountry=""United States""","dstepid=101","dsteuid=3","dstintf=""wan1""","dstintfrole=""wan""","dstip=""66.235.152.221""","","dstport=443","duration=15","dvid=1065","epid=1232","euid=3","eventtime=1736757361580907599","hostname=""ttmetrics.faz.net""","id=7459316070885621892","","level=""notice""","logflag=1","logid=""0000000013""","logver=702081639","mastersrcmac=""00:51:82:11:22:00""","policyid=2","policyname=""Internet for Other company""","policytype=""policy""","poluuid=""a74ddace-1bf1-51ee-4054-38bcfe2ec767""","proto=6","rcvdbyte=44514","","rcvdpkt=44","saasinfo=""{0,0}""","sentbyte=17680","","sentpkt=38","service=""HTTPS""","sessionid=23722659","srccountry=""Reserved""","srcintf=""internal5""","srcintfrole=""lan""","srcip=""172.16.250.51""","srcmac=""00:51:82:11:22:00""","srcport=45529","srcserver=0","","","","","","trandisp=""snat""","transip=""213.209.123.173""","transport=45529","tz=""+0100""","utmaction=""allow""","utmref=BAYAAAAIAAAByBwCAAGPQhGdj0IRncgYAgABj0IRnY9CEZw==",""
"itime=1736757362","date=""2025-01-13""","time=""09:36:02""","devid=""FGT70FTK22002970""","vd=""root""","type=""traffic""","subtype=""forward""","action=""client-rst""","app=""HTTPS.BROWSER""","appcat=""Web.Client""","appid=40568","applist=""default""","apprisk=""medium""","apps=""{HTTPS.BROWSER,SSL}""","bid=5763878","countapp=2","","","","","devname=""DEU-HAM-FW01""","devtype=""Router""","dstcountry=""United States""","dstepid=101","dsteuid=3","dstintf=""wan1""","dstintfrole=""wan""","dstip=""63.140.62.17""","","dstport=443","duration=13","dvid=1065","epid=1232","euid=3","eventtime=1736757361580903439","hostname=""iqmetrics.faz.net""","id=7459316070885621891","","level=""notice""","logflag=1","logid=""0000000013""","logver=702081639","mastersrcmac=""00:51:82:11:22:00""","policyid=2","policyname=""Internet for Other company""","policytype=""policy""","poluuid=""a74ddace-1bf1-51ee-4054-38bcfe2ec767""","proto=6","rcvdbyte=5324","","rcvdpkt=16","saasinfo=""{0,0}""","sentbyte=7444","","sentpkt=16","service=""HTTPS""","sessionid=23722661","srccountry=""Reserved""","srcintf=""internal5""","srcintfrole=""lan""","srcip=""172.16.250.51""","srcmac=""00:51:82:11:22:00""","srcport=47509","srcserver=0","","","","","","trandisp=""snat""","transip=""213.209.123.173""","transport=47509","tz=""+0100""","utmaction=""allow""","utmref=BAYAAAAIAAAByDgCAAGTQhGdk0IRncg0AgABk0IRnZNCEZw==",""
"itime=1736757362","date=""2025-01-13""","time=""09:36:02""","devid=""FGT70FTK22002970""","vd=""root""","type=""traffic""","subtype=""forward""","action=""server-rst""","app=""HTTPS.BROWSER""","appcat=""Web.Client""","appid=40568","applist=""default""","apprisk=""medium""","apps=""{HTTPS.BROWSER,SSL}""","bid=5763878","countapp=2","","","","","devname=""DEU-HAM-FW01""","devtype=""Router""","dstcountry=""Germany""","dstepid=101","dsteuid=3","dstintf=""wan1""","dstintfrole=""wan""","dstip=""2.23.181.133""","","dstport=443","duration=111","dvid=1065","epid=1232","euid=3","eventtime=1736757361550903899","hostname=""www.faz.net""","id=7459316070885621890","","level=""notice""","logflag=1","logid=""0000000013""","logver=702081639","mastersrcmac=""00:51:82:11:22:00""","policyid=2","policyname=""Internet for Other company""","policytype=""policy""","poluuid=""a74ddace-1bf1-51ee-4054-38bcfe2ec767""","proto=6","rcvdbyte=6520729","","rcvdpkt=4570","saasinfo=""{0,0}""","sentbyte=504960","","sentpkt=1679","service=""HTTPS""","sessionid=23722521","srccountry=""Reserved""","srcintf=""internal5""","srcintfrole=""lan""","srcip=""172.16.250.51""","srcmac=""00:51:82:11:22:00""","srcport=1717","srcserver=0","","","","","","trandisp=""snat""","transip=""213.209.123.173""","transport=62134","tz=""+0100""","utmaction=""allow""","utmref=BAYAAAAIAAABydgCAAALQhGcC0IRncnUAgAAC0IRnAtCEZw==",""
"itime=1736757362","date=""2025-01-13""","time=""09:36:02""","devid=""FGT70FTK22002970""","vd=""root""","type=""traffic""","subtype=""forward""","action=""server-rst""","app=""Adobe.Web""","appcat=""General.Interest""","appid=30061","applist=""default""","apprisk=""elevated""","apps=""{Adobe.Web}""","bid=5763878","countapp=1","","","","","devname=""DEU-HAM-FW01""","devtype=""Router""","dstcountry=""Germany""","dstepid=101","dsteuid=3","dstintf=""wan1""","dstintfrole=""wan""","dstip=""2.16.192.235""","dstowner=""adobe.com""","dstport=443","duration=107","dvid=1065","epid=1232","euid=3","eventtime=1736757361510913919","hostname=""assets.adobedtm.com""","id=7459316070885621889","","level=""notice""","logflag=1","logid=""0000000013""","logver=702081639","mastersrcmac=""00:51:82:11:22:00""","policyid=2","policyname=""Internet for Other company""","policytype=""policy""","poluuid=""a74ddace-1bf1-51ee-4054-38bcfe2ec767""","proto=6","rcvdbyte=11207","","rcvdpkt=65","saasinfo=""{0}""","sentbyte=7246","","sentpkt=51","service=""HTTPS""","sessionid=23722547","srccountry=""Reserved""","srcintf=""internal5""","srcintfrole=""lan""","srcip=""172.16.250.51""","srcmac=""00:51:82:11:22:00""","srcport=22717","srcserver=0","","","","","","trandisp=""snat""","transip=""213.209.123.173""","transport=22717","tz=""+0100""","utmaction=""allow""","utmref=BAYAAAAEAAAByogCAAAbQhGcG0IRn",""
"itime=1736757362","date=""2025-01-13""","time=""09:36:02""","devid=""FGT70FTK22002970""","vd=""root""","type=""traffic""","subtype=""forward""","action=""server-rst""","app=""HTTPS.BROWSER""","appcat=""Web.Client""","appid=40568","applist=""default""","apprisk=""medium""","apps=""{HTTPS.BROWSER,SSL}""","bid=5763878","countapp=2","","","","","devname=""DEU-HAM-FW01""","devtype=""Router""","dstcountry=""Germany""","dstepid=101","dsteuid=3","dstintf=""wan1""","dstintfrole=""wan""","dstip=""88.221.123.242""","","dstport=443","duration=107","dvid=1065","epid=1232","euid=3","eventtime=1736757361510904119","hostname=""use.typekit.net""","id=7459316070885621888","","level=""notice""","logflag=1","logid=""0000000013""","logver=702081639","mastersrcmac=""00:51:82:11:22:00""","policyid=2","policyname=""Internet for Other company""","policytype=""policy""","poluuid=""a74ddace-1bf1-51ee-4054-38bcfe2ec767""","proto=6","rcvdbyte=2665","","rcvdpkt=15","saasinfo=""{0,0}""","sentbyte=2547","","sentpkt=13","service=""HTTPS""","sessionid=23722549","srccountry=""Reserved""","srcintf=""internal5""","srcintfrole=""lan""","srcip=""172.16.250.51""","srcmac=""00:51:82:11:22:00""","srcport=63433","srcserver=0","","","","","","trandisp=""snat""","transip=""213.209.123.173""","transport=63433","tz=""+0100""","utmaction=""allow""","utmref=BAYAAAAIAAAByqgCAAAbQhGcG0IRncqkAgAAG0IRnBtCEZw==",""
"itime=1736757362","date=""2025-01-13""","time=""09:36:01""","devid=""FGT70FTK22002970""","vd=""root""","type=""traffic""","subtype=""forward""","action=""client-rst""","app=""HTTPS.BROWSER""","appcat=""Web.Client""","appid=40568","applist=""default""","apprisk=""medium""","apps=""{HTTPS.BROWSER,SSL}""","bid=5763878","countapp=2","","","","","devname=""DEU-HAM-FW01""","devtype=""Router""","dstcountry=""Germany""","dstepid=101","dsteuid=3","dstintf=""wan1""","dstintfrole=""wan""","dstip=""2.23.181.133""","","dstport=443","duration=112","dvid=1065","epid=1232","euid=3","eventtime=1736757361400904959","hostname=""content.faz.net""","id=7459316070885621887","","level=""notice""","logflag=1","logid=""0000000013""","logver=702081639","mastersrcmac=""00:51:82:11:22:00""","policyid=2","policyname=""Internet for Other company""","policytype=""policy""","poluuid=""a74ddace-1bf1-51ee-4054-38bcfe2ec767""","proto=6","rcvdbyte=2602","","rcvdpkt=21","saasinfo=""{0,0}""","sentbyte=3552","","sentpkt=21","service=""HTTPS""","sessionid=23722515","srccountry=""Reserved""","srcintf=""internal5""","srcintfrole=""lan""","srcip=""172.16.250.51""","srcmac=""00:51:82:11:22:00""","srcport=18114","srcserver=0","","","","","","trandisp=""snat""","transip=""213.209.123.173""","transport=18114","tz=""+0100""","utmaction=""allow""","utmref=BAYAAAAIAAABycgCAAAHQhGcB0IRncnEAgAAB0IRnAdCEZw==",""
"itime=1736757361","date=""2025-01-13""","time=""09:36:01""","devid=""FGT70FTK22002970""","vd=""root""","type=""traffic""","subtype=""forward""","action=""server-rst""","app=""HTTPS.BROWSER""","appcat=""Web.Client""","appid=40568","applist=""default""","apprisk=""medium""","apps=""{HTTPS.BROWSER,SSL}""","bid=5763878","countapp=2","","","","","devname=""DEU-HAM-FW01""","devtype=""Router""","dstcountry=""Germany""","dstepid=101","dsteuid=3","dstintf=""wan1""","dstintfrole=""wan""","dstip=""2.23.181.133""","","dstport=443","duration=111","dvid=1065","epid=1232","euid=3","eventtime=1736757360860905879","hostname=""content.faz.net""","id=7459316066590654615","","level=""notice""","logflag=1","logid=""0000000013""","logver=702081639","mastersrcmac=""00:51:82:11:22:00""","policyid=2","policyname=""Internet for Other company""","policytype=""policy""","poluuid=""a74ddace-1bf1-51ee-4054-38bcfe2ec767""","proto=6","rcvdbyte=132005","","rcvdpkt=114","saasinfo=""{0,0}""","sentbyte=12220","","sentpkt=58","service=""HTTPS""","sessionid=23722516","srccountry=""Reserved""","srcintf=""internal5""","srcintfrole=""lan""","srcip=""172.16.250.51""","srcmac=""00:51:82:11:22:00""","srcport=26564","srcserver=0","","","","","","trandisp=""snat""","transip=""213.209.123.173""","transport=26564","tz=""+0100""","utmaction=""allow""","utmref=BAYAAAAIAAABydgCAAAHQhGcB0IRncnQAgAAB0IRnAdCEZw==",""
